,Fullattempt_count,attempt_rates,group,offset
0,72.0,0,0,0
1,24.0,1,0,1
2,294.0,2,0,2
3,168.0,3,0,3
4,378.0,4,0,4
5,14.0,5,0,5
6,22.0,6,0,6
7,108.0,7,0,7
8,204.0,10,1,0
9,208.0,11,1,1
10,122.0,12,1,2
11,66.0,13,1,3
12,39.0,14,1,4
13,82.0,15,1,5
14,34.0,16,1,6
15,13.0,17,1,7
16,246.0,40,4,0
17,100.0,41,4,1
18,198.0,42,4,2
19,264.0,43,4,3
20,250.0,44,4,4
21,55.0,45,4,5
22,94.0,46,4,6
23,45.0,47,4,7
24,224.0,50,5,0
25,91.0,51,5,1
26,100.0,52,5,2
27,37.0,53,5,3
28,90.0,54,5,4
29,37.0,55,5,5
30,32.0,56,5,6
31,28.0,57,5,7
32,86.0,80,8,0
33,156.0,81,8,1
34,59.0,82,8,2
35,120.0,83,8,3
36,29.0,84,8,4
37,29.0,85,8,5
38,7.0,87,8,7
39,152.0,90,9,0
40,360.0,91,9,1
41,40.0,92,9,2
42,58.0,93,9,3
43,25.0,94,9,4
44,12.0,95,9,5
45,68.0,96,9,6
46,63.0,97,9,7
47,134.0,c0,c,0
48,307.0,c1,c,1
49,130.0,c2,c,2
50,43.0,c3,c,3
51,50.0,c4,c,4
52,36.0,c5,c,5
53,51.0,c6,c,6
54,46.0,c7,c,7
55,161.0,d0,d,0
56,140.0,d1,d,1
57,4.0,d2,d,2
58,25.0,d3,d,3
59,32.0,d4,d,4
60,33.0,d5,d,5
61,31.0,d6,d,6
62,4.0,d7,d,7
63,45.0,110,11,0
