,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
98:d8:63:46:53:0a,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:0a:c5:cc:ae:1d,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c:5e:0c:14:d1:ca,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
48:8f:5a:54:f8:78,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
f4:f2:6d:ff:f8:fa,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
4c:5e:0c:14:d1:bf,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
e4:8d:8c:fd:c0:2b,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
be:85:14:27:ed:10,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a:28:35:1d:e5:ed,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8:68:c3:ed:27:e7,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,100,101,102,103,105,106,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90:78:b2:83:e0:15,00,01,02,03,04,05,06,07,40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c:c7:ec:12:c7:d2,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:cc:20:38:3f:f4,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
1e:90:38:af:e8:39,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
