,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
80:2b:f9:1d:0b:4d,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
0c:19:f8:a0:08:b3,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
b0:f1:d8:50:92:c1,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
a6:35:6c:31:2a:5c,00,01,02,03,04,05,06,07,80,81,82,83,84,85,86,87,c0,c1,c2,c3,c4,c5,c6,c7,,,,,,,,,,,,,,,,,,,,,,,,
bc:a8:a6:9c:6f:53,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
32:3b:67:22:c4:16,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
f8:63:3f:ad:b2:13,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
9c:b6:d0:89:32:89,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
46:a7:f6:29:55:10,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
8a:56:b1:91:2e:73,00,01,02,03,04,05,06,07,10,11,12,13,14,15,16,17,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,c0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d2,d3,d4,d5,d6,d7
72:63:85:2b:6c:cf,00,01,02,03,04,05,06,07,80,81,82,83,84,85,86,87,c0,c1,c2,c3,c4,c5,c6,c7,,,,,,,,,,,,,,,,,,,,,,,,
