0,0,168980
0,1,b44c0
0,2,783c0
0,3,5a260
0,4,3c1e0
0,5,2d1a0
0,6,28180
0,7,24120
0,8,0
0,9,0
1,0,b44c0
1,1,5a260
1,2,3c1e0
1,3,2d1a0
1,4,1E+170
1,5,16950
1,6,14140
1,7,12110
1,8,0
1,9,0
2,0,783d0
2,1,3c1e8
2,2,28198
2,3,1E+170
2,4,14148
2,5,f130
2,6,d5d8
2,7,c060
2,8,0
2,9,0
3,0,5a260
3,1,2d1a8
3,2,1E+170
3,3,16950
3,4,f130
3,5,b4a8
3,6,a120
3,7,9088
3,8,0
3,9,0
4,0,1448c0
4,1,a2460
4,2,6c3a0
4,3,51240
4,4,361
4,5,289a0
4,6,241a0
4,7,207a0
4,8,0
4,9,0
5,0,a2470
5,1,51250
5,2,361
5,3,289b0
5,4,1b170
5,5,14560
5,6,12150
5,7,10450
5,8,0
5,9,0
6,0,6c3a0
6,1,36100000000
6,2,241a0
6,3,1b178
6,4,12158
6,5,d948
6,6,c0a8
6,7,ad50
6,8,0
6,9,0
7,0,51250
7,1,289b0
7,2,1b178
7,3,14560
7,4,d948
7,5,a2c8
7,6,9130
7,7,8240
7,8,0
7,9,0
8,0,ada50
8,1,56da0
8,2,39ec0
8,3,2b750
8,4,1cfd0
8,5,15ba0
8,6,13590
8,7,11650
8,8,0
8,9,0
9,0,56da0
9,1,2b750
9,2,1cfd8
9,3,15ba8
9,4,e868
9,5,add0
9,6,9b40
9,7,8ba0
9,8,0
9,9,0
0a,0,39ec0
0a,1,1cfdc
0a,2,13590
0a,3,e86c
0a,4,9b44
0a,5,7434
0a,6,6784
0a,7,5cc4
0a,8,0
0a,9,0
0b,0,2b750
0b,1,15ba8
0b,2,e86c
0b,3,add4
0b,4,7434
0b,5,5600000000
0b,6,4E+020
0b,7,4650
0b,8,0
0b,9,0
0c,0,9c4a0
0c,1,4e2e0
0c,2,34240
0c,3,271f0
0c,4,1a1a0
0c,5,13910
0c,6,116c0
0c,7,faa0
0c,8,0
0c,9,0
0d,0,4e2e0
0d,1,271f8
0d,2,1a1a8
0d,3,13910
0d,4,d160
0d,5,9ca0
0d,6,8bf0
0d,7,7de0
0d,8,0
0d,9,0
0e,0,34244
0e,1,1a1ac
0e,2,116cc
0e,3,d160
0e,4,8bf0
0e,5,68c8
0e,6,5d5c
0e,7,53b0
0e,8,0
0e,9,0
0f,0,271f8
0f,1,13914
0f,2,d160
0f,3,9ca4
0f,4,68c8
0f,5,4E+068
0f,6,4680
0f,7,3f78
0f,8,0
0f,9,0
10,0,960
10,1,4c9100
10,2,1dcc00
10,3,106f00
10,4,949700
10,5,4b1a00
10,6,1c5500
10,7,ef800
10,8,0
10,9,0
11,0,190640
11,1,10d880
11,2,cc1a0
11,3,8aac0
11,4,6a720
11,5,493
11,6,399
11,7,33c20
11,8,0
11,9,0
12,0,168980
12,1,b44c0
12,2,783c0
12,3,5a260
12,4,3c1e0
12,5,2d1a0
12,6,28180
12,7,24120
12,8,1E+160
12,9,1b180
13,0,b44c0
13,1,5a260
13,2,3c1e0
13,3,2d1a0
13,4,1E+170
13,5,16950
13,6,14140
13,7,12110
13,8,f130
13,9,d8c0
14,0,783d0
14,1,3c1e8
14,2,28198
14,3,1E+170
14,4,14148
14,5,f130
14,6,d5d8
14,7,c060
14,8,a120
14,9,9088
15,0,5a260
15,1,2d1a8
15,2,1E+170
15,3,16950
15,4,f130
15,5,b4a8
15,6,a120
15,7,9088
15,8,7918
15,9,6c60
16,0,1448c0
16,1,a2460
16,2,6c3a0
16,3,51240
16,4,361
16,5,289a0
16,6,241a0
16,7,207a0
16,8,1b160
16,9,18660
17,0,a2470
17,1,51250
17,2,361
17,3,289b0
17,4,1b170
17,5,14560
17,6,12150
17,7,10450
17,8,d940
17,9,c350
18,0,6c3a0
18,1,36100000000
18,2,241a0
18,3,1b178
18,4,12158
18,5,d948
18,6,c0a8
18,7,ad50
18,8,9130
18,9,8240
19,0,51250
19,1,289b0
19,2,1b178
19,3,14560
19,4,d948
19,5,a2c8
19,6,9130
19,7,8240
19,8,6d28
19,9,61c0
1a,0,ada50
1a,1,56da0
1a,2,39ec0
1a,3,2b750
1a,4,1cfd0
1a,5,15ba0
1a,6,13590
1a,7,11650
1a,8,e860
1a,9,d0f0
1b,0,56da0
1b,1,2b750
1b,2,1cfd8
1b,3,15ba8
1b,4,e868
1b,5,add0
1b,6,9b40
1b,7,8ba0
1b,8,7430
1b,9,6878
1c,0,39ec0
1c,1,1cfdc
1c,2,13590
1c,3,e86c
1c,4,9b44
1c,5,7434
1c,6,6784
1c,7,5cc4
1c,8,4E+020
1c,9,4650
1d,0,2b750
1d,1,15ba8
1d,2,e86c
1d,3,add4
1d,4,7434
1d,5,5600000000
1d,6,4E+020
1d,7,4650
1d,8,3a98
1d,9,34bc
1e,0,9c4a0
1e,1,4e2e0
1e,2,34240
1e,3,271f0
1e,4,1a1a0
1e,5,13910
1e,6,116c0
1e,7,faa0
1e,8,d160
1e,9,bc40
1f,0,4e2e0
1f,1,271f8
1f,2,1a1a8
1f,3,13910
1f,4,d160
1f,5,9ca0
1f,6,8bf0
1f,7,7de0
1f,8,68c8
1f,9,5E+038
20,0,34244
20,1,1a1ac
20,2,116cc
20,3,d160
20,4,8bf0
20,5,68c8
20,6,5d5c
20,7,53b0
20,8,4680
20,9,3f78
21,0,271f8
21,1,13914
21,2,d160
21,3,9ca4
21,4,68c8
21,5,4E+068
21,6,4680
21,7,3f78
21,8,34ec
21,9,2fa8
22,0,50238
22,1,28198
22,2,1abb8
22,3,14148
22,4,d5d8
22,5,a120
22,6,8E+090
22,7,8000000000
22,8,6b68
22,9,60a8
23,0,28198
23,1,14148
23,2,d5dc
23,3,a120
23,4,6b6c
23,5,510c
23,6,4748
23,7,4074
23,8,35b4
23,9,30d4
24,0,1abbc
24,1,d5de
24,2,8E+094
24,3,6b6c
24,4,474a
24,5,35b6
24,6,2fda
24,7,2af8
24,8,2422
24,9,203a
25,0,1414a
25,1,a122
25,2,6b6c
25,3,510e
25,4,35b6
25,5,2904
25,6,2422
25,7,203a
25,8,1b58
25,9,186a
26,0,48230
26,1,241a0
26,2,18128
26,3,12158
26,4,c0a8
26,5,9130
26,6,8080
26,7,7430
26,8,60
26,9,5730
27,0,241a0
27,1,12158
27,2,c0ac
27,3,9134
27,4,60
27,5,4924
27,6,4058
27,7,3a34
27,8,3088
27,9,2c24
28,0,18128
28,1,c0ac
28,2,8084
28,3,60
28,4,405a
28,5,3088
28,6,2b42
28,7,26de
28,8,20b6
28,9,1d32
29,0,1215a
29,1,9136
29,2,60
29,3,4924
29,4,3088
29,5,251c
29,6,20b6
29,7,1d32
29,8,18ce
29,9,162a
